Title,Reference,Publication Date,Risk Level,Impact Level,Affected Systems,Vulnerability Summary,Solution,URL
Vulnérabilité critique affectant le plugin «Ultimate Member» pour WordPress,42630307/23,03 juillet 2023,Critique,Critique,Plugin «Ultimate Member» versions antérieures ou égales à 2.6.6,Wordpress annonce la correction d’une vulnérabilité critique affectant le plugin « Ultimate Member». Cette vulnérabilité est activement exploitée et son exploitation peut permettre à un attaquant l’élévation de privilèges.,Veuillez-vous référer à la page de téléchargement de WordPress pour la mise à jour.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-affectant-le-plugin-ultimate-member-pour-wordpress
L'attaque « Terrapin » cible les clients et serveurs SSH,45390401/24,04 janvier 2024,Critique,Critique,No Affected Systems,No Summary,No Solution,https://www.dgssi.gov.ma/fr/bulletins/lattaque-terrapin-cible-les-clients-et-serveurs-ssh
Vulnérabilités critiques affectant plusieurs produits d’Apple,41981905/23,19 mai 2023,Important,Critique,"iOS versions antérieures à 16.5, iPadOS versions antérieures à 16.5, Apple Safari versions antérieures à 16.5, Apple watchOS versions antérieures à 9.5, Apple tvOS version antérieures à 16.5, iOS versions antérieures à 15.7.6, iPadOS versions antérieures à 15.7.6, macOS Big Sur versions antérieures à 11.7.7, macOS Ventura versions antérieures à 13.4, macOS Monterey versions antérieures à 12.6.6","Apple annonce la correction de plusieurs vulnérabilités critiques affectant ses produits susmentionnés. Trois de ces vulnérabilités identifiées par « CVE-2023-32409 », « CVE-2023- 28204 » et CVE-2023-32373 sont des « Zero-days » Activement exploités et peuvent permettre à un attaquant distant d’exécuter du code arbitraire de contourner des mesures de sécurité ou d’accéder à des données confidentielles",Veuillez se référer aux bulletins de sécurité de l'éditeur pour l'obtention du correctif.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-affectant-plusieurs-produits-dapple-1
Vulnérabilité dans F5 NGINX,41110304/23,03 avril 2023,Modéré,Modéré,"F5 NGINX Agent version antérieure à v2.23.3, F5 NGINX instance Manager version antérieure à v2.9.0",Une vulnérabilité a été corrigée dans les versions susmentionnées de F5 NGINX. Un attaquant authentifié disposant d'un accès local pour lire les fichiers journaux de l'agent peut accéder à des clés privées. Ce problème n'apparaît que lorsque la journalisation est activée différemment de la configuration par défaut. Une exploitation réussie pourrait permettre à un attaquant d'obtenir des données sensibles et d'utiliser ces informations pour lancer d'autres attaques contre le système affecté en envoyant une requête spécialement conçue.,"Veuillez se référer au bulletin de sécurité F5 du 29 Mars 2023, pour plus de détails",https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-dans-f5-nginx
Vulnérabilités critiques dans le contrôleur Kubernetes Ingress-NGINX,53462503 /25,25 mars 2025,Critique,Critique,"NGINX Controller version v1.12.x antérieure à v1.12.1, NGINX Controller version v1.11.x antérieure à v1.11.5","Une chaîne de vulnérabilités critiques nommée « IngressNightmare » avec un score CVSS de 9.8 a été découverte dans le contrôleur Kubernetes Ingress-NGINX. Ces vulnérabilités permettent l’exploitation des règles d’accès mal configurées et peuvent entraîner des attaques de contournement d’accès, une atteinte à la confidentialité, une élévation de privilèges, l’exécution du code arbitraire à distance ou même la compromission totale des clusters Kubernetes.",Veuillez se référer au bulletin de sécurité Kubernetes du 24 Mars 2025 pour plus d’infirmation.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-le-controleur-kubernetes-ingress-nginx
Vulnérabilité dans Kaspersky Password Manager,46601903/24,19 mars 2024,Important,Important,Kaspersky Password Manager  versions antérieures à 24.0.0.427 pour Windows,Kaspersky a corrigé un problème de sécurité dans les versions susmentionnées de Kaspersky Password Manager. L’exploitation de cette faille peut permettre à un attaquant de porter atteinte aux informations confidentielles.,Veuillez se référer au bulletin de sécurité Kaspersky du 18 Mars 2024.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-dans-kaspersky-password-manager
Vulnérabilité dans les produits Xen,43892109/23,21 septembre 2023,Important,Important,"Xen versions Unstable sans le correctif xsa438.patch, Xen versions 4.17.x sans le correctif de sécurité xsa438-4.17.patch, Xen versions 4.16.x sans le correctif de sécurité xsa438-4.16.patch, Xen versions 3.2.x à 4.15.x sans le correctif de sécurité xsa438-4.15.patch","Une vulnérabilité a été corrigée dans les versions d’hyperviseur Xen susmentionnées. L'exploitation de cette faille peut permettre à un attaquant de causer un déni de service, de réussir une élévation de privilèges ou de contourner la politique de sécurité.",Veuillez se référer au bulletin de sécurité Xen du 19 Septembre 2023.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-dans-les-produits-xen
Vulnérabilités critiques dans Microsoft Windows (Patch Tuesday Juillet 2024),48181007/24,10 juillet 2024,Critique,Critique,"Windows 10 Version 1607 pour 32-bit Systems, Windows 10 Version 1607 pour x64-based Systems, Windows 10 Version 1809 pour 32-bit Systems, Windows 10 Version 1809 pour ARM64-based Systems, Windows 10 Version 1809 pour x64-based Systems, Windows 10 Version 21H2 pour 32-bit Systems, Windows 10 Version 21H2 pour ARM64-based Systems, Windows 10 Version 21H2 pour x64-based Systems, Windows 10 Version 22H2 pour 32-bit Systems, Windows 10 Version 22H2 pour ARM64-based Systems, Windows 10 Version 22H2 pour x64-based Systems, Windows 10 pour 32-bit Systems, Windows 10 pour x64-based Systems, Windows 11 Version 22H2 pour ARM64-based Systems, Windows 11 Version 22H2 pour x64-based Systems, Windows 11 Version 23H2 pour ARM64-based Systems, Windows 11 Version 23H2 pour x64-based Systems, Windows 11 version 21H2 pour ARM64-based Systems, Windows 11 version 21H2 pour x64-based Systems, Windows Server 2016, Windows Server 2016 (Server Core installation), Windows Server 2019, Windows Server 2019 (Server Core installation), Windows Server 2022, Windows Server 2022 (Server Core installation), Windows Server 2022, 23H2 Edition (Server Core installation), Windows Server 2012 R2 (Server Core installation), Windows Server 2012 R2, Windows Server 2012 (Server Core installation), Windows Server 2012, Windows Server 2008 R2 pour x64-based Systems Service Pack 1 (Server Core installation), Windows Server 2008 R2 pour x64-based Systems Service Pack 1, Windows Server 2008 pour x64-based Systems Service Pack 2 (Server Core installation), Windows Server 2008 pour x64-based Systems Service Pack 2, Windows Server 2008 pour 32-bit Systems Service Pack 2 (Server Core installation), Windows Server 2008 pour 32-bit Systems Service Pack 2","Microsoft annonce la correction de plusieurs vulnérabilités critiques dans les  systèmes d’exploitation Windows susmentionnés y compris trois zero_day. Les zeo_day corrigés dans les systèmes d’exploitation Windows sont :CVE-2024-38080 : une vulnérabilité d'élévation de privilèges Hyper-V activement exploitée qui donne aux attaquants les privilèges SYSTEM.CVE-2024-38112 : une vulnérabilité de Windows MSHTML spoofing activement exploitée.CVE-2024-37985 : une attaque par canal latéral ""FetchBench"" précédemment divulguée, qui peut être utilisée pour voler des ""informations secrètes"".L’exploitation de ces failles peut permettre à un attaquant de divulguer des informations confidentielles, d’exécuter du code arbitraire, réussir une élévation de privilèges, de  causer un déni de service et de contourner la politique de sécurité.",Veuillez se référer au bulletin de sécurité Microsoft du 09 Juillet 2024.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-microsoft-windows-patch-tuesday-juillet-2024
Vulnérabilités affectant plusieurs produits de VMware,40650703/23,07 mars 2023,Modéré,Modéré,"Tanzu Greenplum for Kubernetes versions antérieures à 2.0.0, Isolation Segment versions 2.8.x avec Xenial Stemcells antérieures à 621.364, Isolation Segment versions 2.9.x avec Xenial Stemcells antérieures à 621.364, Isolation Segment versions 2.10.x avec Xenial Stemcells antérieures à 621.364, Isolation Segment versions 2.11.x avec Xenial Stemcells antérieures à 621.364, Isolation Segment versions 2.12.x avec Xenial Stemcells antérieures à 621.364, Isolation Segment versions 2.13.x avec Xenial Stemcells antérieures à 621.364, Operations Manager versions 2.10.x antérieures à 2.10.51, VMware Tanzu Application Service for VMs versions 2.8.x avec Xenial Stemcells antérieures à 621.364, VMware Tanzu Application Service for VMs versions 2.9.x avec Xenial Stemcells antérieures à 621.364, VMware Tanzu Application Service for VMs versions 2.10.x avec Xenial Stemcells antérieures à 621.364, VMware Tanzu Application Service for VMs versions 2.11.x avec Xenial Stemcells antérieures à 621.364, VMware Tanzu Application Service for VMs versions 2.12.x avec Xenial Stemcells antérieures à 621.364, VMware Tanzu Application Service for VMs versions 2.13.x avec Xenial Stemcells antérieures à 621.364, Platform Automation Toolkit versions 4.4.x antérieures à 4.4.30, Platform Automation Toolkit versions versions 5.0.x antérieures à 5.0.23, Isolation Segment versions 2.11.x antérieures à 2.11.25, Isolation Segment versions 2.12.x antérieures à 2.12.15, Isolation Segment versions 2.13.x antérieures à 2.13.10, Operations Manager versions 3.0.x antérieures à 3.0.2, VMware Tanzu Application Service for VMs versions 2.11.x antérieures à 2.11.31, VMware Tanzu Application Service for VMs versions 2.12.x antérieures à 2.12.20, VMware Tanzu Application Service for VMs versions 2.13.x antérieures à 2.13.13, VMware Tanzu Application Service for VMs versions 3.0.x antérieures à 3.0.7. Mettre à jour Jammy Stemcells à la version supérieure ou égale à 1.80","VMware annonce la correction de trois vulnérabilités affectant ses produits susmentionnés. L'exploitation de ces vulnérabilités peut permettre à un attaquant distant de d’exécuter du code arbitraire, accéder à des données confidentielles ou de causer un déni de service.",Veuillez se référer au bulletin de sécurité de VMware pour les mises à jour,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-plusieurs-produits-de-vmware
Vulnérabilité critiques dans les produits SonicWall,52102301/25,23 janvier 2025,Critique,Critique,"SonicWall SMA1000 Appliance Management Console (AMC) version antérieure à 12.4.3-02854 (platform-hotfix), SonicWall SMA1000 Appliance Central Management Console (CMC) version antérieure à 12.4.3-02854 (platform-hotfix)",Une vulnérabilité critique a été corrigée dans les produits SonicWall susmentionnés. L’exploitation de cette faille peut permettre à un attaquant de contourner l'authentification et d'exécuter des commandes système arbitraires sur les installations vulnérables.,Veuillez se référer au bulletin de sécurité SonicWall du  22 Janvier 2025 pour plus d’infirmation.,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critiques-dans-les-produits-sonicwall
